Artist,Track,Album,Album_type,Danceability,Energy,Loudness,Speechiness,Valence,Tempo,Duration_min,Views,Likes,Comments,Licensed,official_video,Stream,most_playedon,Total_popularity,Energy_level,Loudness_level,Tempo_level,Speechiness_level,Valence_level,Popularity_level
Kaytranada,Lite Spots,99.90%,album,88,54,-11.7,47,39,120,3.8,6570209,86761,2419,True,True,29240851,Spotify,35811060,Medium,Medium,Fast,Speechy,Sad,Very High
Charles Ans,Canela,Canela,single,86,46,-7.1,8,83,116,3.4,129059630,821355,15640,True,True,132854517,Spotify,261914147,Medium,Loud,Fast,Very Musical,Very Happy,Very High
Charles Ans,Lqra Session #5,LQRA Session #5,single,79,56,-5.6,8,59,120,5.1,45018922,313315,3417,False,False,31139189,Youtube,76158111,Medium,Loud,Fast,Very Musical,Neutral,Very High
Charles Ans,Si Nunca Va A Amanecer,Smile,album,76,63,-8.2,32,67,89,3.6,57253888,282848,3402,True,True,68787653,Spotify,126041541,High,Loud,Slow,Mixed,Happy,Very High
Charles Ans,Los No Tan Tristes,Los No Tan Tristes,album,60,50,-9.4,21,30,86,4.1,37287946,444007,10014,True,True,48843290,Spotify,86131236,Medium,Loud,Slow,Mixed,Sad,Very High
Charles Ans,Invisibles,Los No Tan Tristes,album,65,53,-11.6,26,19,84,3.9,17636893,186451,3301,True,True,23275257,Spotify,40912150,Medium,Medium,Slow,Mixed,Very Sad,Very High
Charles Ans,Esta Noche,Smile,album,72,68,-7.0,30,94,90,3.2,3741392,19870,113,False,False,33652823,Spotify,37394215,High,Loud,Medium,Mixed,Very Happy,Very High
Charles Ans,Si Tú Te Vas,Si Tú Te Vas,single,70,59,-8.5,17,59,80,3.5,7960247,111061,2245,True,True,7102166,Youtube,15062413,Medium,Loud,Slow,Musical,Neutral,Very High
Charles Ans,Lqra Session #9,LQRA Session #9,single,67,58,-6.1,9,72,92,3.1,45018922,313315,3417,False,False,1415710,Youtube,46434632,Medium,Loud,Medium,Very Musical,Happy,Very High
Charles Ans,Aquí Todo Esta Bien,Smile,album,72,89,-6.7,37,72,91,4.0,21619040,112291,1971,True,True,41617874,Spotify,63236914,Very High,Loud,Medium,Mixed,Happy,Very High
Charles Ans,Vegetales Con Pescado,Vegetales Con Pescado,single,72,43,-9.2,23,69,84,3.0,770670,19005,635,True,True,1608368,Spotify,2379038,Medium,Loud,Slow,Mixed,Happy,High
Jairo Vera,"Adicto (Feat. Best, Bayriton)","ADICTO (feat. Best, Bayriton)",single,62,56,-10.0,5,71,177,4.9,18632294,113873,2530,False,False,16963225,Youtube,35595519,Medium,Loud,Very Fast,Very Musical,Happy,Very High
Jairo Vera,Pa K Te Enamore,PA K TE ENAMORE,single,80,62,-8.0,9,48,96,2.3,5561828,52467,1441,False,False,4772388,Youtube,10334216,High,Loud,Medium,Very Musical,Neutral,Very High
Jairo Vera,Tarima,Pa K Te Enamore,album,81,51,-7.9,4,34,97,2.9,18390933,77028,751,True,True,14309964,Youtube,32700897,Medium,Loud,Medium,Very Musical,Sad,Very High
Jairo Vera,Dime,Dime,single,92,40,-8.6,30,53,97,2.9,2066865,40166,1401,True,True,2209239,Spotify,4276104,Medium,Loud,Medium,Mixed,Neutral,High
Jairo Vera,Mujeriego,Mujeriego,single,77,84,-5.7,5,69,98,4.3,4593118,54153,1492,False,False,3017998,Youtube,7611116,Very High,Loud,Medium,Very Musical,Happy,Very High
Jairo Vera,Lealtad,Lealtad,single,82,54,-6.4,11,46,98,2.8,2245370,41295,1380,False,False,1806866,Youtube,4052236,Medium,Loud,Medium,Musical,Neutral,High
Jairo Vera,Parcerita,Parcerita,single,82,85,-4.8,4,52,93,3.3,6771485,40866,662,False,False,4607119,Youtube,11378604,Very High,Very Loud,Medium,Very Musical,Neutral,Very High
Jairo Vera,Mirador,Pa K Te Enamore,album,73,66,-7.5,36,45,174,2.9,7645651,49666,460,True,True,11539068,Spotify,19184719,High,Loud,Very Fast,Mixed,Neutral,Very High
Jairo Vera,Kilo De Amigas,Kilo De Amigas,single,83,55,-6.8,6,69,98,2.9,2095069,26189,340,False,False,1306939,Youtube,3402008,Medium,Loud,Medium,Very Musical,Happy,High
Jairo Vera,"Full Pioli 2.O (Feat. Julianno Sosa, El Jordan 23, King Savagge, Polima West Coast, Drago200, Jairo Vera, Galee Galee, Best)","FULL PIOLI 2.O (feat. Julianno Sosa, El Jordan 23, King Savagge, Polima West Coast, Drago200, Jairo Vera, Galee Galee, Best)",single,84,78,-5.5,19,72,94,6.7,11449952,81458,2007,False,True,19682752,Spotify,31132704,High,Loud,Medium,Musical,Happy,Very High
Sofía Reyes,"1, 2, 3 (Feat. Jason Derulo & De La Ghetto)",Mal De Amores,album,79,89,-3.1,5,79,94,3.4,787090091,4782134,118961,True,True,589683929,Youtube,1376774020,Very High,Very Loud,Medium,Very Musical,Happy,Very High
Sofía Reyes,Marte,Mal De Amores,album,70,60,-5.3,5,64,90,3.6,118331860,578157,25476,True,True,118650685,Spotify,236982545,High,Loud,Medium,Very Musical,Happy,Very High
